ID_Venta,Fecha,ID_Cliente,Región_Cliente,ID_Producto,Cantidad,Método_Pago,Método_Pago_Nombre,Estado,Nombre_Producto,Precio_Unitario,Categoría,Total_Venta,Mes,Nro de Mes,Mes_Año,Cat_MetodoPago,Año
919,31/1/2024,10,Buenos Aires,25,5,1,Efectivo,Completa,Pizza congelada,$15.45,Congelados,$77.25,enero,1,miércoles-01,Congelados - Efectivo,2024
947,31/1/2024,106,NEA,5,1,4,Mercado Pago,Completa,Manteca,$5.65,Lácteos,$5.65,enero,1,miércoles-01,Lácteos - Mercado Pago,2024
1317,31/1/2024,235,NEA,25,3,3,Tarjeta de Débito,Completa,Pizza congelada,$15.45,Congelados,$46.35,enero,1,miércoles-01,Congelados - Tarjeta de Débito,2024
1607,31/1/2024,114,Centro,15,5,1,Efectivo,Completa,Medialunas,$3.51,Panadería,$17.55,enero,1,miércoles-01,Panadería - Efectivo,2024
2038,31/1/2024,132,Buenos Aires,2,5,4,Mercado Pago,Completa,Yogur,$5.21,Lácteos,$26.05,enero,1,miércoles-01,Lácteos - Mercado Pago,2024
2436,31/1/2024,282,Centro,3,3,1,Efectivo,Completa,Queso cremoso,$17.23,Lácteos,$51.69,enero,1,miércoles-01,Lácteos - Efectivo,2024
2578,31/1/2024,201,Patagonia,31,6,3,Tarjeta de Débito,Completa,Galletitas de agua,$5.24,Galletitas y Snacks,$31.44,enero,1,miércoles-01,Galletitas y Snacks - Tarjeta de Débito,2024
448,1/2/2024,5,Centro,19,3,4,Mercado Pago,Pendiente,Tomates,$6.54,Frutas y Verduras,$19.62,febrero,2,jueves-02,Frutas y Verduras - Mercado Pago,2024
492,1/2/2024,114,Centro,29,6,4,Mercado Pago,Completa,Cerveza,$11.54,Bebidas,$69.24,febrero,2,jueves-02,Bebidas - Mercado Pago,2024
1099,1/2/2024,282,Centro,28,1,4,Mercado Pago,Completa,Jugos de frutas,$9.45,Bebidas,$9.45,febrero,2,jueves-02,Bebidas - Mercado Pago,2024
1439,1/2/2024,130,Buenos Aires,18,2,2,Tarjeta de Crédito,Completa,Bananas,$7.25,Frutas y Verduras,$14.50,febrero,2,jueves-02,Frutas y Verduras - Tarjeta de Crédito,2024
1565,1/2/2024,97,Buenos Aires,6,6,2,Tarjeta de Crédito,Completa,Asado,$28.56,Carnicería,$171.36,febrero,2,jueves-02,Carnicería - Tarjeta de Crédito,2024
1776,1/2/2024,247,Buenos Aires,7,4,4,Mercado Pago,Completa,Chorizo,$11.25,Carnicería,$45.00,febrero,2,jueves-02,Carnicería - Mercado Pago,2024
2190,1/2/2024,98,Centro,16,1,1,Efectivo,Pendiente,Tortas,$15.23,Panadería,$15.23,febrero,2,jueves-02,Panadería - Efectivo,2024
2755,1/2/2024,27,Buenos Aires,18,4,4,Mercado Pago,Completa,Bananas,$7.25,Frutas y Verduras,$29.00,febrero,2,jueves-02,Frutas y Verduras - Mercado Pago,2024
43,2/2/2024,294,Centro,31,1,4,Mercado Pago,Completa,Galletitas de agua,$5.24,Galletitas y Snacks,$5.24,febrero,2,viernes-02,Galletitas y Snacks - Mercado Pago,2024
272,2/2/2024,60,NEA,3,6,4,Mercado Pago,Completa,Queso cremoso,$17.23,Lácteos,$103.38,febrero,2,viernes-02,Lácteos - Mercado Pago,2024
349,2/2/2024,203,Buenos Aires,2,3,4,Mercado Pago,Completa,Yogur,$5.21,Lácteos,$15.63,febrero,2,viernes-02,Lácteos - Mercado Pago,2024
351,2/2/2024,45,Buenos Aires,8,4,3,Tarjeta de Débito,Completa,Milanesa,$16.21,Carnicería,$64.84,febrero,2,viernes-02,Carnicería - Tarjeta de Débito,2024
822,2/2/2024,1,Patagonia,32,4,5,Transferencia,Completa,Galletitas de chocolate,$6.25,Galletitas y Snacks,$25.00,febrero,2,viernes-02,Galletitas y Snacks - Transferencia,2024
1078,2/2/2024,218,Centro,6,5,5,Transferencia,Completa,Asado,$28.56,Carnicería,$142.80,febrero,2,viernes-02,Carnicería - Transferencia,2024
1595,2/2/2024,129,Patagonia,31,6,1,Efectivo,Completa,Galletitas de agua,$5.24,Galletitas y Snacks,$31.44,febrero,2,viernes-02,Galletitas y Snacks - Efectivo,2024
2746,2/2/2024,217,Centro,4,1,4,Mercado Pago,Completa,Queso rallado,$19.23,Lácteos,$19.23,febrero,2,viernes-02,Lácteos - Mercado Pago,2024
262,3/2/2024,156,Patagonia,33,3,4,Mercado Pago,Pendiente,Papas chips,$8.54,Galletitas y Snacks,$25.62,febrero,2,sábado-02,Galletitas y Snacks - Mercado Pago,2024
997,3/2/2024,245,NEA,12,3,5,Transferencia,Completa,Pan francés,$8.12,Panadería,$24.36,febrero,2,sábado-02,Panadería - Transferencia,2024
1221,3/2/2024,251,Centro,10,5,5,Transferencia,Pendiente,Costilla de cerdo,$14.25,Carnicería,$71.25,febrero,2,sábado-02,Carnicería - Transferencia,2024
1931,3/2/2024,204,Patagonia,6,4,5,Transferencia,Completa,Asado,$28.56,Carnicería,$114.24,febrero,2,sábado-02,Carnicería - Transferencia,2024
1967,3/2/2024,32,Cuyo,7,5,4,Mercado Pago,Completa,Chorizo,$11.25,Carnicería,$56.25,febrero,2,sábado-02,Carnicería - Mercado Pago,2024
2328,3/2/2024,275,Buenos Aires,23,1,2,Tarjeta de Crédito,Completa,Papas fritas,$8.23,Congelados,$8.23,febrero,2,sábado-02,Congelados - Tarjeta de Crédito,2024
420,4/2/2024,259,Cuyo,32,1,2,Tarjeta de Crédito,Pendiente,Galletitas de chocolate,$6.25,Galletitas y Snacks,$6.25,febrero,2,domingo-02,Galletitas y Snacks - Tarjeta de Crédito,2024
546,4/2/2024,66,Buenos Aires,19,3,4,Mercado Pago,Completa,Tomates,$6.54,Frutas y Verduras,$19.62,febrero,2,domingo-02,Frutas y Verduras - Mercado Pago,2024
680,4/2/2024,112,NEA,37,2,5,Transferencia,Completa,Garbanzos,$3.65,Conservas,$7.30,febrero,2,domingo-02,Conservas - Transferencia,2024
2263,4/2/2024,48,Patagonia,27,1,5,Transferencia,Completa,Agua mineral,$6.21,Bebidas,$6.21,febrero,2,domingo-02,Bebidas - Transferencia,2024
2752,4/2/2024,125,Patagonia,35,3,4,Mercado Pago,Completa,Arroz,$4.25,Conservas,$12.75,febrero,2,domingo-02,Conservas - Mercado Pago,2024
2889,4/2/2024,48,Patagonia,24,2,3,Tarjeta de Débito,Pendiente,Empanadas,$13.54,Congelados,$27.08,febrero,2,domingo-02,Congelados - Tarjeta de Débito,2024
2896,4/2/2024,106,NEA,21,1,2,Tarjeta de Crédito,Completa,Zanahorias,$3.25,Frutas y Verduras,$3.25,febrero,2,domingo-02,Frutas y Verduras - Tarjeta de Crédito,2024
277,5/2/2024,159,NEA,4,6,4,Mercado Pago,Completa,Queso rallado,$19.23,Lácteos,$115.38,febrero,2,lunes-02,Lácteos - Mercado Pago,2024
497,5/2/2024,169,Centro,5,6,3,Tarjeta de Débito,Completa,Manteca,$5.65,Lácteos,$33.90,febrero,2,lunes-02,Lácteos - Tarjeta de Débito,2024
503,5/2/2024,169,Centro,5,5,1,Efectivo,Completa,Manteca,$5.65,Lácteos,$28.25,febrero,2,lunes-02,Lácteos - Efectivo,2024
1198,5/2/2024,102,Patagonia,13,2,1,Efectivo,Completa,Pan integral,$12.56,Panadería,$25.12,febrero,2,lunes-02,Panadería - Efectivo,2024
1449,5/2/2024,172,Buenos Aires,29,6,2,Tarjeta de Crédito,Completa,Cerveza,$11.54,Bebidas,$69.24,febrero,2,lunes-02,Bebidas - Tarjeta de Crédito,2024
1759,5/2/2024,255,Buenos Aires,23,5,5,Transferencia,Pendiente,Papas fritas,$8.23,Congelados,$41.15,febrero,2,lunes-02,Congelados - Transferencia,2024
